postcode,state,total_population,demographic_score,pct_professional,pct_high_income_hh,median_hh_income_weekly,pct_degree,seifa_irsad_decile,pct_wfh,median_age,avg_household_size,unemployment_pct,labour_force_participation_pct,median_rent_weekly,rank
2087,NSW,13189,75.77,55.15,51.48,2913.91,40.76,9.26,49.43,43.25,3.02,3.28,62.23,790.98,71
4171,QLD,18224,75.57,57.06,52.2,3035.13,45.97,9.47,28.66,38.33,2.55,3.56,74.29,505.82,72
2155,NSW,78217,75.07,49.73,57.61,3127.18,40.73,8.92,45.63,36.03,3.35,4.18,71.66,632.38,73
2111,NSW,15457,75.0,57.62,46.02,2652.19,43.47,9.5,48.35,41.18,2.52,3.29,66.28,577.55,74
2067,NSW,28065,74.99,57.57,40.83,2343.86,52.46,9.64,50.13,38.75,2.58,5.34,60.93,669.03,75
2045,NSW,6481,74.53,56.6,50.0,2855.33,38.4,9.0,48.67,46.41,2.78,3.36,60.69,581.07,76
2138,NSW,19721,74.27,56.12,42.08,2313.4,52.83,9.47,48.78,35.8,2.47,5.39,66.15,559.93,77
2044,NSW,8270,73.97,54.65,49.54,2636.94,44.93,8.73,48.64,36.78,2.52,4.05,72.26,627.31,78
2086,NSW,15979,73.4,51.33,55.16,3042.96,36.45,8.85,45.21,41.7,3.12,3.14,65.44,839.64,79
2225,NSW,6598,73.34,50.89,57.24,3122.16,33.17,8.9,44.57,40.62,3.06,2.85,66.87,626.63,80
2911,ACT,4812,73.3,53.66,52.65,3019.11,50.14,9.83,12.07,34.58,2.89,2.76,77.52,481.53,81
4005,QLD,17977,73.11,62.09,41.1,2386.55,50.43,9.65,28.09,39.31,1.93,3.73,71.45,474.19,82
2154,NSW,42703,73.04,52.68,49.11,2753.24,42.96,9.0,46.25,43.4,3.01,4.42,61.45,652.46,83
4061,QLD,18816,72.63,55.51,49.89,2689.36,45.2,9.29,29.6,41.38,2.91,4.33,68.42,518.85,84
2602,ACT,34523,72.06,59.01,43.86,2499.65,55.24,9.72,12.96,37.36,2.43,3.71,70.17,433.2,85
2768,NSW,28866,71.99,47.11,57.47,2918.16,39.78,8.38,45.08,37.2,3.27,4.43,65.93,563.02,86
2085,NSW,12881,71.7,51.3,52.77,2986.67,33.62,8.74,46.13,46.78,3.02,3.01,61.35,949.85,87
2016,NSW,13071,71.51,55.17,40.59,2326.41,49.05,8.81,49.29,38.34,2.0,9.08,65.95,524.41,88
2113,NSW,29754,71.4,54.41,39.39,2234.92,49.95,9.24,49.15,37.49,2.44,5.53,66.15,525.86,89
4068,QLD,27454,71.36,56.66,39.76,2421.68,53.39,9.57,29.15,35.33,2.54,5.6,67.98,467.89,90
2515,NSW,11740,71.26,54.89,46.84,2538.07,42.03,8.88,41.45,42.82,2.74,3.84,63.16,572.64,91
2762,NSW,22458,71.19,46.68,53.23,2779.43,46.43,8.12,45.08,31.7,3.26,4.53,74.08,544.4,92
2107,NSW,15435,71.11,52.84,49.03,2702.85,36.63,9.17,43.07,47.07,2.79,3.44,61.0,812.59,93
2153,NSW,63462,71.07,51.54,48.7,2664.81,40.57,8.78,45.64,40.4,3.01,4.26,64.02,589.01,94
