postcode,region_name,market_share_pct,market_size_dollars,customer_penetration_pct,spend_per_customer,spend_per_transaction,transactions_per_customer,nearest_store,distance_km,distance_tier,yoy_share_pct,share_trend_pp,period,yoy_period
2259,Hamlyn Terrace,0.475,114687.0,2.741,84.89,62.15,1.37,Cooks Hill,23.33,No Presence (20km+),0.51,-0.035,202512,202412
2260,Terrigal,7.101,727994.0,28.808,138.62,61.69,2.25,Erina,15.13,Extended (10-20km),6.724,0.377,202512,202412
2261,Bateau Bay,1.139,217524.0,6.512,82.94,56.35,1.47,Erina,18.41,Extended (10-20km),1.276,-0.137,202512,202412
2262,Blue Haven,0.207,15466.0,1.619,60.72,49.52,1.23,Cooks Hill,28.15,No Presence (20km+),0.281,-0.074,202512,202412
2263,Gorokan,0.402,32299.0,2.365,72.64,63.24,1.15,Erina,27.59,No Presence (20km+),0.315,0.087,202512,202412
2264,Bonnells Bay,0.502,34311.0,2.042,131.25,75.84,1.73,Cooks Hill,17.98,Extended (10-20km),0.465,0.037,202512,202412
2265,Cooranbong,0.285,9967.0,1.692,88.37,68.75,1.29,Cooks Hill,22.41,No Presence (20km+),0.684,-0.399,202512,202412
2267,Wangi Wangi,0.542,7212.0,3.589,80.02,59.17,1.35,Cooks Hill,11.68,Extended (10-20km),0.902,-0.36,202512,202412
2278,Barnsley,,,,,,,Cooks Hill,8.12,Secondary (5-10km),,,202512,202412
2280,Belmont (NSW),1.16,115429.0,4.425,139.53,95.52,1.46,Cooks Hill,5.71,Secondary (5-10km),1.136,0.024,202512,202412
2281,Swansea (NSW),0.921,57632.0,3.361,144.39,104.44,1.38,Cooks Hill,15.17,Extended (10-20km),0.967,-0.046,202512,202412
2282,Warners Bay,1.297,87661.0,5.258,139.3,85.64,1.63,Cooks Hill,0.0,Core (0-3km),1.47,-0.173,202512,202412
2283,Toronto,0.729,65653.0,3.157,116.31,84.55,1.38,Cooks Hill,7.7,Secondary (5-10km),0.733,-0.004,202512,202412
2284,Speers Point,0.853,40097.0,3.918,106.3,69.44,1.53,Cooks Hill,2.94,Core (0-3km),0.936,-0.083,202512,202412
2285,Cameron Park,0.898,105929.0,3.474,120.87,73.16,1.65,Cooks Hill,4.38,Primary (3-5km),0.955,-0.057,202512,202412
2286,West Wallsend,0.497,9007.0,2.689,90.61,58.93,1.54,Cooks Hill,9.99,Secondary (5-10km),0.579,-0.082,202512,202412
