postcode,total_population,num_sa1s,state,median_age,median_personal_income_weekly,median_hh_income_weekly,median_rent_weekly,median_mortgage_monthly,median_family_income_weekly,avg_household_size,pct_high_income_hh,pct_degree,pct_professional,pct_wfh,labour_force_participation_pct,unemployment_pct,seifa_irsad_score,seifa_irsad_decile,n_degree_total,n_prof_managerial,n_wfh,hh_total
2043,9736,18,NSW,35.33,1677.44,2943.99,622.0,2824.44,3766.26,2.05,54.14,62.13,69.32,63.51,81.33,3.3,1102.77,9.95,5404,4750,4368,4577
2044,8270,22,NSW,36.78,1216.77,2636.94,627.31,2924.76,3037.35,2.52,49.54,44.93,54.65,48.64,72.26,4.05,1055.55,8.73,3163,2696,2413,3171
2045,6481,16,NSW,46.41,994.26,2855.33,581.07,3698.14,3558.49,2.78,50.0,38.4,56.6,48.67,60.69,3.36,1082.67,9.0,2078,1788,1533,2240
2046,27277,69,NSW,43.09,1143.51,2507.41,607.74,3236.58,3082.97,2.51,45.75,38.23,55.25,47.47,63.64,3.31,1068.28,8.93,8621,7697,6622,10636
2047,12005,27,NSW,42.6,1369.67,2830.57,609.36,3167.66,3592.86,2.32,50.3,46.01,61.32,52.21,66.09,3.1,1091.21,9.78,4665,3954,3373,4918
2048,7961,20,NSW,37.1,1266.39,2547.07,548.48,2984.67,3437.78,2.27,44.07,52.51,61.74,54.13,72.11,4.25,1079.96,9.82,3644,2945,2587,3293
2049,12669,30,NSW,36.41,1248.31,2342.0,485.9,2879.19,3249.29,2.22,43.16,49.56,60.39,55.17,70.08,4.11,1065.71,9.75,5456,4491,4102,5239
2050,10690,26,NSW,33.94,1324.71,2419.73,525.83,2510.33,3356.13,2.16,39.18,55.79,63.4,52.62,74.4,5.49,1080.85,9.92,5405,4409,3673,4606
2060,16169,45,NSW,39.82,1575.51,2661.46,591.15,2889.4,3709.67,1.95,47.36,61.22,67.57,61.49,70.03,3.8,1094.0,9.97,8840,6570,5974,7734
2061,6613,17,NSW,46.14,1664.04,2768.44,630.42,3049.54,3843.31,1.74,47.05,58.28,70.68,63.18,61.68,4.33,1068.71,9.82,3590,2644,2345,3323
2062,8450,21,NSW,39.67,1601.53,3041.84,589.5,3277.85,3966.34,2.24,51.54,58.09,67.41,60.33,72.08,3.14,1101.88,10.0,4000,3238,2902,3640
2063,6488,17,NSW,45.08,1401.95,3903.91,1053.74,4599.31,4551.04,2.87,58.49,52.9,67.36,58.1,59.62,3.72,1121.92,10.0,2728,1990,1715,2136
2064,9456,25,NSW,38.46,1213.07,2736.33,623.09,2806.62,3186.2,2.53,47.01,56.26,61.59,55.09,67.93,5.27,1061.52,9.68,4251,3044,2718,3634
2065,32478,74,NSW,38.19,1591.95,2960.12,625.84,3029.94,3816.4,2.18,52.03,61.5,68.57,60.27,73.59,3.21,1103.34,9.98,17105,13567,11953,14588
2066,33862,78,NSW,39.25,1366.28,3245.64,689.46,3320.27,3779.57,2.58,53.14,54.99,64.19,55.22,69.76,3.56,1102.11,9.91,15050,11748,10129,13010
2067,28065,63,NSW,38.75,963.54,2343.86,669.03,2968.03,2630.99,2.58,40.83,52.46,57.57,50.13,60.93,5.34,1040.49,9.64,12213,7710,6711,10388
2068,18686,43,NSW,42.48,1221.25,3494.86,844.08,3810.37,3980.69,2.83,54.98,50.1,62.91,55.62,63.9,3.68,1096.91,9.81,7413,5719,5059,6443
2069,15718,41,NSW,42.3,1214.13,3588.39,905.17,3891.64,3997.12,2.99,57.99,55.01,65.37,56.09,63.15,4.14,1114.97,9.98,6885,4961,4252,5167
2070,16108,38,NSW,42.51,1146.89,3211.49,805.26,3593.71,3560.62,2.9,53.29,55.68,66.48,55.31,60.95,4.15,1104.09,9.97,7170,4970,4130,5556
2071,15154,37,NSW,42.99,1066.48,3122.56,860.23,3599.79,3400.85,2.93,52.39,54.97,63.64,54.03,59.11,4.54,1098.63,9.97,6781,4418,3757,5095
2072,9719,22,NSW,40.64,1082.56,2814.62,745.77,3410.4,3098.51,2.71,47.63,56.13,62.93,54.74,62.69,5.03,1077.47,9.87,4506,3004,2611,3535
