postcode,total_population,num_sa1s,state,median_age,median_personal_income_weekly,median_hh_income_weekly,median_rent_weekly,median_mortgage_monthly,median_family_income_weekly,avg_household_size,pct_high_income_hh,pct_degree,pct_professional,pct_wfh,labour_force_participation_pct,unemployment_pct,seifa_irsad_score,seifa_irsad_decile,n_degree_total,n_prof_managerial,n_wfh,hh_total
2174,12076,25,NSW,30.67,1003.13,2642.16,554.83,2765.58,2642.71,3.51,51.66,37.53,42.41,35.81,66.53,5.25,1047.5,7.76,3307,2367,2010,3363
2175,1791,5,NSW,44.88,765.98,2197.18,439.5,3115.15,2311.2,3.23,38.65,12.85,32.48,31.87,49.82,1.98,1020.37,4.43,192,237,234,521
2176,50002,118,NSW,40.94,542.01,1708.53,468.17,2120.15,1740.13,3.31,29.56,15.3,29.66,27.45,43.61,7.01,893.4,3.81,6348,5087,4703,14311
2177,17498,37,NSW,37.87,537.52,1682.94,427.98,1994.81,1647.81,3.38,27.79,13.67,25.14,23.27,44.49,8.04,842.99,3.18,1957,1514,1409,4950
2178,7489,14,NSW,37.84,777.42,2331.19,518.86,2385.91,2331.3,3.56,43.95,17.99,36.15,30.89,56.59,3.75,1009.84,5.52,1020,1145,979,1990
2179,16264,34,NSW,33.64,943.36,2241.68,519.48,2646.03,2279.17,3.25,40.06,28.14,36.3,32.45,63.44,4.74,1028.35,6.16,3321,2664,2372,4876
2190,29665,62,NSW,33.81,542.29,1502.31,437.88,2383.57,1687.33,3.38,25.35,20.89,35.46,29.13,43.19,8.16,898.78,5.46,4753,3252,2668,8124
2191,6549,13,NSW,40.44,665.84,1731.7,448.79,2598.31,2064.79,2.88,30.99,22.82,36.38,34.55,50.71,4.44,974.42,6.37,1213,935,885,2187
2192,13800,33,NSW,39.01,647.23,1482.43,409.94,2144.66,1745.98,2.65,23.37,22.27,32.31,31.25,48.17,7.37,914.06,5.24,2573,1667,1613,4771
2193,17776,45,NSW,39.2,887.58,2098.01,499.79,2529.91,2392.02,2.57,36.41,37.12,47.39,46.27,60.0,4.69,1019.79,8.12,5606,4112,4018,6661
2194,26123,60,NSW,37.34,666.54,1530.75,412.17,2050.11,1619.52,2.67,21.93,26.3,29.34,26.4,47.91,8.1,886.62,5.45,5961,2999,2707,9046
2195,27215,52,NSW,31.97,536.96,1259.73,365.9,1715.22,1309.1,3.1,14.21,30.18,25.25,20.54,43.64,12.82,823.29,3.85,6176,1992,1627,8050
2196,36211,73,NSW,35.13,568.14,1526.65,429.99,2153.68,1658.02,3.19,24.02,20.07,29.99,26.17,45.66,8.83,889.46,4.68,5754,3644,3202,10763
2197,11048,22,NSW,34.5,546.15,1480.3,435.64,2348.83,1629.17,3.34,25.19,14.87,30.95,28.48,42.32,8.81,882.53,4.02,1253,1030,947,2999
2198,10001,26,NSW,37.1,642.54,1771.98,525.52,2513.18,1903.93,3.26,29.42,16.39,34.51,31.32,46.39,4.7,983.17,5.64,1256,1166,1062,2787
2199,21556,44,NSW,34.6,543.95,1499.56,418.3,2176.31,1615.28,3.22,24.43,18.67,30.18,26.48,44.48,8.44,875.6,4.27,3148,2057,1813,6232
2200,52510,121,NSW,34.49,555.89,1457.06,438.84,1974.1,1555.88,3.11,21.0,21.98,30.26,24.96,45.5,9.29,867.03,4.84,9063,5175,4278,15788
2203,14591,37,NSW,38.94,1148.49,2142.64,481.78,2595.39,2799.98,2.24,38.33,44.98,56.79,51.68,67.61,4.33,1041.13,9.24,5628,4612,4198,6217
2204,26977,65,NSW,37.8,1075.79,2243.97,515.77,2661.09,2735.49,2.37,40.66,42.64,55.6,49.7,65.66,4.7,1023.73,8.9,9970,8223,7365,10764
2205,26055,50,NSW,33.76,938.81,2080.18,521.68,2407.98,2240.03,2.54,35.41,42.67,43.69,39.17,62.44,6.08,1005.43,8.11,9821,5953,5356,9755
2206,19843,48,NSW,44.07,825.6,2168.13,578.9,2779.04,2481.86,2.85,40.05,28.18,47.49,45.38,55.07,4.01,1030.87,7.51,4654,4166,3978,6700
2207,31074,72,NSW,41.35,749.97,1935.06,502.19,2496.0,2179.34,2.87,35.12,27.51,40.64,34.83,54.44,5.15,996.5,6.86,7053,5385,4593,10224
2208,14660,36,NSW,41.7,721.07,1922.34,502.44,2633.88,2175.81,2.92,35.74,26.81,40.65,37.52,54.19,4.66,1003.61,6.58,3226,2525,2333,4865
2209,17552,38,NSW,40.82,684.01,1731.87,454.59,2373.07,1987.98,2.8,31.62,28.42,39.04,36.62,52.48,6.2,965.55,6.55,4157,2822,2651,6101
2210,34383,86,NSW,42.54,752.83,1871.25,443.97,2429.43,2148.67,2.75,32.6,26.47,36.97,34.94,52.7,5.89,974.23,6.39,7562,5552,5220,11980
2211,18012,46,NSW,41.03,764.32,1921.9,458.55,2415.45,2235.63,2.8,34.4,25.14,37.8,38.01,55.04,4.79,999.69,6.19,3761,2967,2977,6197
2212,17884,38,NSW,38.28,756.13,1941.77,464.92,2495.97,2211.79,2.95,35.19,25.22,37.59,36.12,54.6,5.11,983.91,6.24,3645,2826,2718,5810
2213,23943,51,NSW,39.01,846.7,2122.66,480.52,2652.19,2446.35,2.9,40.34,25.86,38.93,40.1,58.91,4.13,1025.75,6.66,4963,4229,4353,8004
2214,4077,14,NSW,39.34,812.82,2122.21,537.74,2553.83,2327.47,2.97,40.25,18.91,34.33,33.71,58.93,3.63,1060.65,5.77,610,621,613,1326
2216,28502,71,NSW,38.61,797.55,1822.48,482.14,2341.54,2039.54,2.56,30.19,31.63,35.31,29.01,59.45,6.32,979.55,6.53,7749,4768,3919,10697
2217,31200,72,NSW,40.16,857.26,1955.39,514.92,2462.03,2252.64,2.56,32.38,34.35,41.19,32.89,59.93,5.51,1009.6,7.36,9053,6114,4860,11620
2218,16599,37,NSW,38.48,757.07,1885.12,476.63,2251.74,2036.71,2.69,30.98,34.47,37.29,33.39,59.4,6.02,989.96,6.9,4869,2924,2611,6006
2219,13901,33,NSW,44.69,881.14,1939.88,543.39,2879.75,2453.97,2.48,34.72,25.48,42.83,34.53,56.08,4.55,1032.34,7.17,2966,2668,2155,5389
2220,35908,75,NSW,36.27,707.68,1865.39,490.12,2366.77,1871.78,2.89,31.27,37.56,35.05,29.9,57.46,6.67,961.69,7.21,11691,5772,4916,12079
2221,17144,42,NSW,42.86,859.18,2415.56,600.34,3105.81,2644.66,2.99,43.0,32.7,46.81,39.06,57.11,4.19,1045.2,8.14,4622,3661,3039,5483
2222,14274,30,NSW,39.67,800.39,1980.95,486.27,2400.37,2165.92,2.71,32.76,34.59,39.15,36.31,58.99,4.93,1007.41,7.18,4180,2631,2434,5099
2223,22181,51,NSW,41.1,982.76,2465.55,551.48,2738.36,2806.9,2.75,43.38,37.92,48.27,45.53,62.37,3.92,1071.8,8.45,6902,5227,4943,7891
2224,14568,32,NSW,45.72,887.4,2228.61,652.65,2854.08,2515.33,2.75,39.21,25.21,43.19,33.74,56.43,3.32,1066.15,7.32,3039,2852,2230,5122
2225,6598,13,NSW,40.62,1109.29,3122.16,626.63,3139.57,3405.52,3.06,57.24,33.17,50.89,44.57,66.87,2.85,1103.09,8.9,1694,1692,1482,2121
2226,14294,33,NSW,40.4,1074.59,2753.08,544.4,2845.35,3087.32,2.84,50.77,33.63,49.32,45.68,66.11,3.42,1089.22,8.54,3791,3555,3293,4921
2227,16993,37,NSW,40.61,1035.36,2544.29,621.67,2875.65,2894.27,2.8,46.11,28.88,44.59,38.9,66.46,3.23,1084.25,7.85,3942,3897,3405,6041
2228,22189,48,NSW,41.63,935.72,2137.18,562.93,2711.72,2538.83,2.57,37.18,26.6,41.21,33.87,61.38,3.79,1047.31,7.04,4860,4463,3667,8397
2229,32278,74,NSW,41.63,1035.3,2500.79,667.27,3121.13,2936.2,2.71,44.85,27.38,43.12,35.91,63.87,3.05,1078.13,7.69,7115,6954,5771,11754
2230,30789,77,NSW,43.4,1151.96,2501.38,666.57,2853.06,3001.13,2.43,43.12,31.15,46.73,37.78,65.68,2.98,1087.7,8.32,8194,7808,6320,12648
2231,2531,10,NSW,38.13,818.33,2173.69,576.67,2683.53,2317.57,3.11,39.72,11.88,28.94,23.69,64.41,3.08,1052.29,4.9,230,351,286,800
2232,36526,88,NSW,40.6,1019.45,2320.08,537.23,2629.49,2725.22,2.6,41.72,30.54,44.51,39.1,65.8,3.12,1069.15,7.73,9149,8496,7454,13948
2233,30364,76,NSW,41.12,959.26,2465.71,579.43,2569.46,2680.35,2.93,46.04,23.26,37.25,33.59,65.88,2.58,1086.32,6.68,5577,5731,5164,10222
2234,30628,86,NSW,41.73,987.5,2812.75,663.97,2738.59,2924.09,3.09,51.61,27.22,42.46,37.57,66.2,3.0,1091.57,7.54,6793,6804,6020,9763
2250,73031,180,NSW,42.42,787.85,1786.33,409.13,2000.79,2101.14,2.56,29.87,22.39,35.92,27.83,59.35,4.89,1010.19,5.66,13444,12295,9446,27822
2251,33787,85,NSW,46.24,800.67,1894.37,462.77,2160.48,2208.22,2.63,33.58,23.33,38.23,30.26,57.51,3.31,1044.99,6.29,6398,5954,4640,12631
2256,16206,39,NSW,48.34,674.34,1357.12,385.6,1978.44,1779.01,2.24,21.25,18.56,33.47,31.2,49.39,5.94,961.0,4.18,2586,2170,2010,6864
2257,30446,73,NSW,47.87,710.36,1477.66,421.45,2074.71,1861.88,2.34,24.51,18.54,34.84,30.85,51.45,5.18,994.2,4.69,4703,4317,3818,12416
2258,5239,17,NSW,41.25,832.22,2056.52,418.18,2054.52,2268.24,2.77,35.45,21.12,36.73,26.47,64.47,2.73,1048.22,5.96,911,983,707,1846
2259,67470,156,NSW,41.37,721.17,1677.98,420.67,1923.26,1887.46,2.72,26.5,12.57,26.34,19.74,56.59,5.15,976.0,3.19,6781,7771,5847,23985
2260,26264,58,NSW,42.81,933.58,2253.84,524.01,2440.84,2559.42,2.74,41.17,29.23,44.5,32.69,62.02,3.06,1079.64,7.85,6192,5699,4157,9316
2261,55491,135,NSW,43.29,739.91,1582.12,408.3,1978.35,1885.86,2.51,24.97,15.59,29.1,22.18,56.12,4.89,986.08,3.9,7068,7081,5390,21332
2262,21404,51,NSW,39.63,672.34,1399.63,376.54,1723.61,1619.15,2.57,18.47,8.36,20.5,16.16,54.33,6.01,934.91,1.67,1446,1782,1385,8078
2263,24887,55,NSW,44.34,631.83,1242.03,360.43,1739.74,1532.65,2.32,15.94,9.86,22.01,16.17,48.31,7.13,914.99,1.92,2033,2094,1528,10095
2264,16155,39,NSW,46.38,682.0,1427.38,383.21,1790.96,1670.59,2.44,20.43,14.7,27.47,22.51,51.02,6.57,968.12,3.26,1985,1811,1291,6285
2265,7573,17,NSW,43.21,763.18,1751.58,379.27,1935.75,1988.27,2.7,30.78,21.62,33.76,21.6,58.13,4.8,1014.74,5.11,1315,1117,714,2678
2267,2927,6,NSW,53.01,684.74,1348.49,337.6,1863.1,1677.25,2.27,20.79,19.21,30.74,18.44,47.93,4.68,1003.57,4.31,483,355,213,1201
2278,2597,9,NSW,39.85,804.27,1901.58,379.43,1873.41,2084.16,2.85,32.77,9.18,19.42,12.99,67.81,4.22,1011.83,2.01,193,261,174,891
2280,27187,67,NSW,45.06,784.13,1742.22,414.0,2029.93,2089.82,2.53,30.41,19.17,31.79,20.63,58.3,4.5,1012.2,4.4,4283,4016,2602,10497
2281,15336,43,NSW,49.09,713.67,1552.23,410.5,1980.63,1843.35,2.45,25.84,16.23,30.13,21.47,52.71,5.17,996.72,3.93,2048,1986,1413,6072
2282,17807,43,NSW,46.24,850.5,1945.18,459.89,2084.54,2302.91,2.58,35.11,25.85,39.74,24.12,60.24,3.42,1058.84,6.37,3788,3424,2072,6787
2283,24668,69,NSW,47.01,714.0,1535.75,366.07,1778.57,1849.07,2.45,24.62,17.11,29.65,18.53,52.67,5.86,981.79,3.84,3558,3080,1941,9497
2284,12670,29,NSW,42.83,779.11,1675.94,400.52,1910.53,2052.95,2.47,26.33,16.14,29.58,18.75,58.14,4.56,986.44,4.08,1679,1739,1105,4782
2285,35999,86,NSW,37.42,862.26,1951.44,426.03,1900.31,2188.91,2.72,32.16,18.41,29.49,18.35,66.3,4.29,1016.34,4.13,5167,5341,3355,12944
2286,4832,12,NSW,37.71,769.99,1721.6,407.91,1850.52,1942.18,2.7,27.62,10.86,23.71,14.45,62.88,3.53,989.51,2.39,417,550,335,1740
2287,42005,93,NSW,37.46,807.44,1856.16,420.2,1889.45,2116.96,2.68,30.58,22.13,33.08,18.92,64.05,5.11,1002.27,4.87,7432,6832,3921,15235
2289,22374,54,NSW,37.97,955.7,2185.82,442.42,2142.23,2563.96,2.65,39.55,31.38,43.49,26.12,68.32,3.79,1064.4,7.34,5599,5123,3072,8231
2290,36651,99,NSW,41.04,857.26,1869.66,399.22,1993.39,2248.98,2.55,32.63,23.37,35.56,21.72,62.07,4.29,1021.35,5.29,6924,6381,3880,13949
2291,14505,32,NSW,39.91,1102.65,2443.45,469.42,2529.63,3120.88,2.52,44.23,40.5,52.64,28.62,68.1,3.34,1082.91,8.84,4887,4167,2261,5591
2292,3922,13,NSW,36.63,828.53,1591.96,369.66,1986.53,2036.75,2.22,24.03,25.32,37.79,23.54,61.4,7.19,968.59,5.75,855,753,469,1601
2293,3301,8,NSW,37.45,1075.44,2022.08,491.78,2016.42,2563.84,2.1,35.83,37.82,48.7,30.06,72.88,3.68,1057.81,8.84,1100,990,609,1498
2294,2587,6,NSW,36.12,932.45,1874.34,425.44,1910.18,2356.12,2.24,30.1,34.02,45.84,24.15,68.79,5.07,1018.64,7.34,747,655,347,1067
2295,8082,19,NSW,46.2,854.54,1799.06,396.92,1977.58,2127.49,2.49,29.89,20.66,32.13,21.31,55.15,5.25,999.93,4.95,1329,1198,778,3244
2296,2030,5,NSW,34.85,994.32,1815.93,433.96,2001.93,2315.2,2.13,30.66,38.17,45.35,28.4,74.33,4.97,1017.15,8.1,671,566,355,910
2297,1802,4,NSW,36.0,908.19,2076.97,406.13,1882.53,2436.15,2.43,38.55,38.95,46.46,26.97,71.92,5.15,1031.92,7.65,585,478,277,680
2298,10159,22,NSW,39.39,781.94,1623.46,377.2,1876.87,2098.22,2.27,26.91,25.49,36.74,20.83,61.94,5.12,986.95,6.0,2224,1886,1071,3957
2299,14327,31,NSW,35.85,753.45,1539.32,378.41,1881.77,1985.89,2.41,24.29,25.52,35.94,19.84,60.33,6.52,962.75,5.73,3037,2476,1376,5578
2300,12863,28,NSW,38.78,1138.35,1962.31,430.43,2374.55,2772.2,2.0,33.61,43.58,54.23,30.35,68.59,4.37,1048.72,9.16,5043,4117,2303,6045
2302,2117,5,NSW,42.59,1041.0,1817.08,465.57,2067.84,2595.6,1.95,30.17,38.41,52.16,31.38,60.95,4.39,1053.28,8.43,733,584,350,1016
2303,10900,24,NSW,42.2,893.25,1772.73,413.66,2303.11,2394.15,2.25,31.47,32.93,45.4,26.38,60.04,6.92,996.94,7.25,3079,2513,1471,4503
2304,15825,38,NSW,38.57,813.9,1589.36,372.77,1858.93,2086.6,2.25,25.59,25.61,36.72,23.76,62.11,5.1,984.69,5.59,3406,2905,1893,6446
2305,15871,40,NSW,41.16,961.54,2056.02,418.05,2145.35,2563.45,2.53,37.2,33.53,45.95,26.25,66.06,3.39,1052.15,7.46,4288,3767,2145,6052
2306,3581,9,NSW,36.7,478.38,841.56,206.05,1351.51,1070.28,2.29,7.76,4.23,13.12,7.61,36.24,13.92,668.7,1.0,115,130,73,1370
2307,4537,11,NSW,34.58,697.36,1387.92,364.18,1645.74,1667.99,2.34,17.55,17.53,24.71,14.67,59.0,6.52,962.37,3.27,671,520,308,1865
2308,1358,1,NSW,20.0,302.0,0.0,0.0,0.0,0.0,0.0,,1.77,12.17,8.52,44.3,18.1,,,24,60,42,0
2311,1138,4,NSW,46.51,653.59,1352.75,265.6,1863.04,1722.92,2.45,18.7,15.94,36.86,23.01,57.68,2.84,996.97,4.38,148,192,120,447
2312,2089,4,NSW,49.84,538.7,1202.64,317.5,1456.11,1326.95,2.6,13.36,9.95,25.33,13.91,49.57,4.74,957.52,1.92,175,210,117,746
2315,15962,38,NSW,53.62,666.02,1386.2,409.7,1793.89,1643.86,2.27,19.57,17.59,31.21,18.89,47.45,4.94,1002.51,4.3,2418,1931,1178,6579
2316,6595,23,NSW,50.78,669.13,1435.28,347.86,1820.71,1699.63,2.43,21.55,15.05,27.28,19.49,50.73,4.91,1009.52,3.78,832,734,511,2567
2317,6675,20,NSW,55.82,637.36,1207.66,376.56,1850.44,1545.96,2.2,15.47,15.25,28.14,20.34,44.33,4.6,993.28,3.52,892,676,483,2884
2318,14082,38,NSW,42.58,797.44,1869.46,408.37,1884.94,2025.23,2.8,30.46,13.58,25.41,20.56,60.54,4.38,1021.87,3.76,1519,1667,1309,4897
2319,7404,19,NSW,49.46,564.6,1138.78,355.35,1537.49,1390.94,2.36,15.15,9.88,20.81,14.43,46.5,6.27,937.35,1.73,620,563,393,2945
2320,41686,96,NSW,38.16,826.56,1958.88,388.65,1915.69,2163.09,2.76,31.29,15.44,27.78,16.95,63.99,4.59,996.14,3.61,5080,5689,3464,14673
2321,22250,55,NSW,38.3,872.86,2020.81,407.33,1990.41,2185.63,2.81,34.05,15.61,28.03,18.19,66.88,3.71,1023.81,3.87,2706,3083,2001,7755
2322,25194,65,NSW,36.87,856.35,1941.32,400.76,1868.44,2096.01,2.78,30.99,14.67,24.25,15.88,66.02,4.9,983.63,3.35,2832,3094,2035,8913
2323,27027,73,NSW,40.2,774.96,1696.79,367.04,1789.51,1994.98,2.55,26.9,16.11,28.38,17.8,60.65,5.37,976.52,3.66,3544,3679,2312,10332
2324,26123,69,NSW,46.17,657.14,1386.67,349.36,1593.53,1591.27,2.44,18.34,10.98,22.67,14.89,50.18,6.22,941.58,2.29,2429,2317,1501,10141
2325,32249,82,NSW,40.58,626.69,1413.84,316.51,1548.9,1634.28,2.46,21.77,8.95,20.92,12.99,52.03,5.88,923.1,2.01,2354,2743,1719,11270
2326,7965,22,NSW,39.12,652.33,1510.03,325.86,1584.73,1707.96,2.71,21.08,5.89,17.23,9.41,56.13,7.7,902.34,1.52,365,587,322,2793
2327,8269,20,NSW,38.75,636.25,1264.91,321.16,1437.98,1591.88,2.39,16.08,6.87,14.53,9.65,53.8,6.84,898.43,1.08,465,496,326,3223
2328,3161,11,NSW,42.48,761.87,1588.79,286.18,1811.98,2014.8,2.45,25.45,9.01,24.51,11.92,61.35,2.99,981.65,2.71,234,393,200,1153
2329,2472,7,NSW,44.91,590.39,1210.23,236.93,1381.49,1493.69,2.46,15.72,9.7,33.12,16.48,52.57,4.54,944.19,2.99,191,348,174,891
2330,23062,65,NSW,36.86,836.5,1994.15,344.48,1917.2,2266.07,2.68,34.2,10.99,21.81,11.42,64.74,4.09,992.32,2.44,1999,2496,1318,7959
2331,1220,2,NSW,24.6,875.58,1983.52,316.28,2175.0,2121.65,2.89,36.31,6.59,15.64,11.37,65.94,1.13,1049.46,5.07,73,112,81,199
2333,15556,46,NSW,37.68,800.85,1695.83,310.89,1586.12,1971.07,2.54,27.0,8.92,19.8,9.77,60.28,6.0,934.15,1.89,1096,1429,705,5654
2334,3599,6,NSW,34.33,824.06,1927.14,367.41,1836.04,2189.55,2.77,31.98,8.8,19.66,10.0,68.52,4.49,980.99,1.53,245,362,185,1251
2335,8948,21,NSW,36.52,926.65,2259.57,392.28,2062.71,2452.79,2.86,38.25,15.27,26.23,15.78,69.67,3.24,1028.27,3.52,1044,1216,737,3012
2336,4337,11,NSW,42.01,832.68,1864.25,275.94,1882.53,2207.04,2.55,30.11,9.71,23.04,11.45,65.14,2.84,998.47,2.37,341,537,269,1622
2337,9185,23,NSW,41.77,824.31,1688.65,298.43,1670.8,2029.9,2.44,27.45,13.93,28.57,12.97,63.56,2.96,994.01,3.48,1042,1332,607,3523
2338,2273,6,NSW,51.29,619.46,1069.54,236.95,1248.78,1486.62,2.14,13.16,11.33,32.89,18.17,52.58,4.23,964.1,3.56,223,337,190,957
2339,1194,3,NSW,46.25,735.52,1459.51,211.39,1515.25,1759.49,2.53,24.18,11.02,39.68,20.68,62.35,3.16,1012.69,4.68,106,241,122,427
2340,53873,132,NSW,38.98,798.29,1598.97,327.73,1528.82,1867.72,2.51,23.32,15.65,29.28,11.81,61.01,5.21,965.22,3.68,6710,7621,3160,20016
2341,1693,5,NSW,49.16,549.8,1115.87,218.29,1094.06,1322.29,2.24,12.01,5.78,16.71,11.43,45.9,8.7,848.09,1.61,81,113,75,690
2342,603,2,NSW,39.98,787.79,1768.69,261.91,1676.74,1957.09,2.7,31.01,15.89,45.72,30.29,68.84,1.88,1032.88,5.62,74,148,98,200
2343,5470,16,NSW,45.43,671.98,1323.58,230.88,1164.8,1631.99,2.39,16.72,10.58,33.38,14.73,54.22,6.14,948.93,3.28,474,814,368,2008
2344,671,3,NSW,47.14,805.01,1761.94,321.56,1656.65,1910.79,2.53,27.86,13.24,38.41,23.58,68.65,1.32,1058.25,5.02,75,152,95,253
2345,758,2,NSW,42.38,796.3,1621.99,381.15,1491.63,1939.99,2.5,25.29,12.56,30.11,19.38,68.38,3.1,1026.39,3.38,78,128,82,289
2346,4230,13,NSW,46.86,632.47,1225.57,272.07,1375.86,1558.5,2.31,16.78,10.0,30.63,15.98,54.6,4.22,947.42,3.24,352,613,334,1634
2347,2598,10,NSW,52.25,551.56,1037.09,182.26,947.45,1294.17,2.22,9.07,9.3,43.27,24.06,50.4,5.95,936.53,4.41,203,476,284,1053
2350,28024,71,NSW,38.45,757.94,1515.44,306.01,1433.87,1835.28,2.33,22.81,28.34,38.88,22.45,57.49,5.87,991.48,6.39,6516,5070,2936,10226
2352,3114,10,NSW,42.26,704.82,1439.72,297.6,1420.84,1754.81,2.5,21.99,10.87,23.6,13.59,60.19,3.9,970.29,2.39,271,347,203,1144
2353,1591,3,NSW,47.07,657.34,1323.02,254.88,1366.3,1574.17,2.34,17.32,10.89,22.8,12.81,54.89,4.35,969.87,1.79,144,163,92,578
2354,3847,14,NSW,49.55,705.88,1320.9,196.57,1150.26,1630.92,2.28,17.02,13.46,42.75,26.91,59.25,2.85,1000.9,5.05,429,826,532,1511
2355,814,3,NSW,50.75,579.99,1052.64,300.25,1332.05,1368.74,2.32,16.85,12.54,37.49,19.39,55.58,4.85,958.49,3.3,85,141,74,323
2356,300,1,NSW,51.0,442.0,792.0,120.0,650.0,1050.0,2.1,6.19,5.81,45.71,27.62,44.2,7.0,899.98,2.0,15,48,29,113
2357,4484,15,NSW,49.82,603.02,1171.36,200.32,982.55,1441.97,2.32,14.3,11.46,36.92,14.77,47.45,6.24,939.09,3.87,422,671,285,1594
2358,3908,14,NSW,46.96,662.28,1293.19,250.99,1359.81,1589.85,2.33,14.9,17.65,31.68,20.88,55.22,4.68,973.47,4.19,567,552,362,1541
2359,1031,4,NSW,47.13,526.85,1151.6,162.38,1211.93,1351.37,2.55,10.94,8.85,38.73,23.68,48.84,7.21,926.83,4.45,73,154,100,354
2360,16150,39,NSW,42.05,654.86,1244.56,268.13,1246.38,1518.47,2.4,15.06,10.46,29.26,10.9,53.14,6.42,937.89,2.82,1359,1968,737,5987
2361,1455,5,NSW,50.18,474.73,957.06,178.72,822.83,1196.42,2.33,7.04,8.69,43.87,23.58,48.53,8.65,888.04,4.33,104,252,140,543
2365,5883,14,NSW,44.05,626.47,1248.89,237.93,1148.48,1518.49,2.43,15.56,13.27,37.68,21.39,54.78,4.43,977.12,4.15,633,982,578,2043
2369,2048,5,NSW,43.64,503.99,1114.04,231.98,1090.72,1276.96,2.46,11.99,8.37,33.21,15.76,45.29,8.0,925.2,2.84,138,238,118,686
2370,9341,26,NSW,48.43,572.18,1075.91,218.34,1157.17,1394.55,2.22,12.63,11.45,33.27,14.96,49.57,6.24,923.29,3.34,898,1288,609,3703
2371,3007,9,NSW,53.16,555.25,1006.0,178.19,1181.32,1284.98,2.17,11.06,11.77,44.85,27.05,48.44,5.89,946.32,5.09,304,571,346,1176
2372,5806,18,NSW,54.95,527.26,958.07,248.36,1123.0,1241.22,2.12,9.6,12.06,35.08,16.56,45.83,6.75,928.28,3.51,600,792,376,2474
2379,899,3,NSW,45.77,704.73,1417.55,198.8,1357.8,1719.81,2.46,18.59,16.56,53.68,26.95,64.55,2.7,1019.54,6.37,123,251,126,334
2380,11561,27,NSW,37.67,812.84,1697.0,324.69,1533.89,2039.92,2.5,27.24,12.06,27.73,8.78,61.01,4.43,967.11,2.87,1076,1497,485,4214
2381,2280,6,NSW,43.23,682.75,1349.89,209.89,1044.03,1606.56,2.47,19.97,11.86,45.24,22.21,59.3,4.04,963.79,4.88,221,473,231,824
2382,2158,6,NSW,42.05,749.68,1637.16,277.46,1435.73,1894.23,2.48,26.26,10.53,32.43,16.16,59.32,4.26,972.61,3.56,182,351,177,773
2386,590,2,NSW,41.31,884.45,1577.79,107.96,143.77,1990.11,2.5,24.03,14.85,59.12,31.95,62.39,0.73,1051.02,7.12,70,173,93,190
2387,926,3,NSW,34.91,996.7,1759.44,122.49,384.78,2035.25,2.57,29.06,15.6,53.26,26.88,66.02,1.31,1042.71,6.93,117,262,132,299
2388,3074,9,NSW,40.46,726.5,1400.69,163.8,1009.89,1677.21,2.48,20.31,8.86,36.02,13.23,55.81,4.44,954.23,3.34,214,472,177,1023
2390,9602,33,NSW,41.46,807.66,1612.21,262.56,1380.15,1996.12,2.51,24.97,11.82,31.08,11.3,61.27,3.76,982.23,3.36,913,1432,528,3434
2395,1105,4,NSW,51.2,516.69,952.7,148.46,1066.06,1170.2,2.2,9.92,10.9,43.79,24.12,48.01,8.37,896.82,4.81,100,205,121,432
2396,1000,4,NSW,50.21,537.63,1083.87,173.54,752.36,1324.42,2.32,15.54,8.86,38.86,18.22,45.95,5.47,925.12,3.17,72,144,71,355
2397,1516,4,NSW,39.82,936.54,1608.39,156.42,330.37,2071.64,2.61,25.55,15.71,50.01,25.17,62.88,1.43,1034.39,6.18,189,377,189,464
2398,556,1,NSW,41.0,821.0,1470.0,190.0,607.0,1946.0,2.8,21.68,13.79,41.34,15.35,59.4,1.2,1036.28,5.0,59,105,39,143
2399,1142,3,NSW,43.47,755.25,1543.69,214.4,765.42,1924.77,2.66,22.93,11.14,37.46,13.28,57.03,1.2,1002.41,4.44,99,199,73,323
2400,10847,35,NSW,38.41,883.58,1668.54,245.86,1097.46,1928.34,2.5,24.85,12.67,31.57,8.92,56.56,4.33,964.36,4.03,1088,1598,464,3501
2401,855,2,NSW,41.35,799.32,1447.62,179.51,679.74,1859.62,2.8,18.91,12.67,44.37,17.42,62.2,0.78,1018.68,5.0,84,185,73,252
2402,1995,6,NSW,48.86,548.44,1081.28,222.34,940.08,1368.74,2.31,10.99,9.56,35.25,15.09,49.24,5.1,928.87,2.9,156,292,136,771
2403,1302,5,NSW,44.08,576.07,1119.18,223.65,1092.77,1343.75,2.49,11.0,10.08,45.59,25.29,54.64,4.8,956.72,4.51,105,268,150,455
2404,1971,8,NSW,55.81,520.6,930.41,190.76,1042.37,1119.6,2.23,7.48,9.62,38.63,16.34,45.81,6.32,948.5,3.65,159,308,145,808
2405,500,1,NSW,43.0,749.0,1343.0,173.0,600.0,1875.0,2.4,13.97,8.39,51.58,26.84,46.5,3.1,976.09,6.0,35,98,51,136
2406,1230,4,NSW,41.03,786.66,1352.01,194.34,991.67,1771.18,2.42,16.57,10.93,41.58,18.39,62.23,2.84,955.65,3.81,109,252,113,444
2408,1018,3,NSW,41.36,797.56,1540.04,205.32,581.83,1828.74,2.62,25.2,14.56,55.07,28.94,63.04,1.54,1045.13,6.87,117,275,146,317
2409,1444,6,NSW,37.76,740.74,1475.5,183.28,456.39,1619.45,2.88,16.48,7.91,32.46,15.49,41.95,13.6,855.42,3.9,89,177,94,349
